o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,geometry
1,A1,1,A1,0.0,"LINESTRING (13.184365 52.5558743,13.184365 52.5558743)"
1,A1,2,A2,0.3173007633139444,"LINESTRING (13.184365 52.5558743,13.1889152 52.5554778)"
1,A1,3,A3,0.5923897214979472,"LINESTRING (13.184365 52.5558743,13.1928876 52.5555907)"
1,A1,4,A4,0.9220055432040839,"LINESTRING (13.184365 52.5558743,13.1976345 52.5556169)"
1,A1,5,A5,1.2691506218515753,"LINESTRING (13.184365 52.5558743,13.2026323 52.555621)"
1,A1,6,A6,1.5657952841314675,"LINESTRING (13.184365 52.5558743,13.2069026 52.555611)"
1,A1,7,A7,1.940704349594928,"LINESTRING (13.184365 52.5558743,13.2122995 52.5556031)"
1,A1,8,A8,2.316669780037962,"LINESTRING (13.184365 52.5558743,13.2177111 52.555538)"
1,A1,9,A9,2.5956361470599023,"LINESTRING (13.184365 52.5558743,13.2217235 52.5552714)"
1,A1,10,A10,2.869437130629636,"LINESTRING (13.184365 52.5558743,13.2256692 52.5556722)"
1,A1,11,B1,0.3153107653130294,"LINESTRING (13.184365 52.5558743,13.1838823 52.5513612)"
1,A1,12,B2,0.3590438496762791,"LINESTRING (13.184365 52.5558743,13.1877558 52.5519738)"
1,A1,13,B3,0.6586541461488074,"LINESTRING (13.184365 52.5558743,13.1931628 52.5523402)"
1,A1,14,B4,0.95630919739647,"LINESTRING (13.184365 52.5558743,13.1975354 52.5518695)"
1,A1,15,B5,1.2671014999454937,"LINESTRING (13.184365 52.5558743,13.2020792 52.5515283)"
1,A1,16,B6,1.6769513469637176,"LINESTRING (13.184365 52.5558743,13.2082298 52.5522446)"
1,A1,17,B7,1.930899554669645,"LINESTRING (13.184365 52.5558743,13.2119786 52.5527064)"
1,A1,18,B8,2.2916525491238153,"LINESTRING (13.184365 52.5558743,13.2171456 52.5521837)"
1,A1,19,B9,2.6282753811145043,"LINESTRING (13.184365 52.5558743,13.2221629 52.5542396)"
1,A1,20,B10,2.876357140715329,"LINESTRING (13.184365 52.5558743,13.225601 52.5521452)"
1,A1,21,C1,0.6495598780971148,"LINESTRING (13.184365 52.5558743,13.1837045 52.5465474)"
1,A1,22,C2,0.6555196269829322,"LINESTRING (13.184365 52.5558743,13.1876311 52.5470216)"
1,A1,23,C3,0.814622347919114,"LINESTRING (13.184365 52.5558743,13.1922758 52.5472185)"
1,A1,24,C4,1.0996058761658358,"LINESTRING (13.184365 52.5558743,13.1978552 52.5475945)"
1,A1,25,C5,1.3803323176444866,"LINESTRING (13.184365 52.5558743,13.2023174 52.5473592)"
1,A1,26,C6,1.6984761746638377,"LINESTRING (13.184365 52.5558743,13.207515 52.5480108)"
1,A1,27,C7,1.9652519444734,"LINESTRING (13.184365 52.5558743,13.2116045 52.5482397)"
1,A1,28,C8,2.405633362460883,"LINESTRING (13.184365 52.5558743,13.2182015 52.548511)"
1,A1,29,C9,2.7112822185140404,"LINESTRING (13.184365 52.5558743,13.2225432 52.5477739)"
1,A1,30,C10,2.9316613484075797,"LINESTRING (13.184365 52.5558743,13.2256429 52.5470988)"
1,A1,31,D1,0.9142582862633871,"LINESTRING (13.184365 52.5558743,13.1840595 52.5427174)"
1,A1,32,D2,0.8962317806134626,"LINESTRING (13.184365 52.5558743,13.1872463 52.5432992)"
