name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
Koeltzepark,0,5067924,,,,park,,"POLYGON ((13.2079118 52.5452933, 13.2080173 52.5453953, 13.2080596 52.5454363, 13.2080966 52.545472, 13.208311 52.5456741, 13.2081477 52.5457286, 13.2078731 52.5458203, 13.2077012 52.5458777, 13.2075368 52.5459326, 13.2075885 52.5459877, 13.2070065 52.5461809, 13.206977 52.5461483, 13.2069382 52.5461214, 13.2068587 52.5461034, 13.2067774 52.5460967, 13.2066906 52.5461101, 13.2059201 52.5463674, 13.203836 52.547073, 13.2037566 52.5471135, 13.2037104 52.5471494, 13.2036827 52.547182, 13.2036624 52.5472135, 13.2036564 52.5472621, 13.203515 52.5471399, 13.2031325 52.5469642, 13.2029392 52.5468829, 13.202685 52.5467692, 13.2027044 52.5467532, 13.2026271 52.5467186, 13.2026064 52.5467357, 13.2025815 52.5467246, 13.2025653 52.5467166, 13.2024799 52.5466758, 13.2027492 52.5463923, 13.202948 52.5464639, 13.2034934 52.546203, 13.2036291 52.5461538, 13.2037161 52.5461701, 13.2037419 52.5461749, 13.2038594 52.546158, 13.2039492 52.5460908, 13.20392 52.5459896, 13.2042211 52.5458268, 13.2050261 52.5455573, 13.2061272 52.5451813, 13.2065047 52.5455542, 13.2069183 52.5454754, 13.2073509 52.5453962, 13.2076656 52.5453382, 13.2079118 52.5452933))",POINT (13.205267 52.5461169),35254.4,379474.6
,1,5076121,,,,park,,"POLYGON ((13.1951151 52.5541672, 13.1964882 52.5536438, 13.1967929 52.55391, 13.1969308 52.5540016, 13.1969917 52.5540396, 13.1970767 52.554065, 13.1972419 52.5540903, 13.1974279 52.5541098, 13.1975465 52.5541264, 13.1979057 52.5541703, 13.1980933 52.5541829, 13.1982777 52.5541849, 13.1982978 52.5541845, 13.1986128 52.5541781, 13.1986689 52.5542141, 13.198491 52.5551676, 13.1983964 52.5551998, 13.1968144 52.5550526, 13.1961448 52.5549929, 13.196026 52.5549747, 13.1959718 52.5549497, 13.1959025 52.5548974, 13.1956987 52.5547262, 13.1954265 52.5544806, 13.1951384 52.5542349, 13.1951095 52.5541951, 13.1951151 52.5541672))",POINT (13.1969788 52.5545012),25135.0,270550.8
Grüngürtel,2,5076131,,,,sports_centre,,"POLYGON ((13.1951292 52.5540228, 13.1961935 52.5536262, 13.1931809 52.5506254, 13.1930769 52.550352, 13.1930297 52.5498404, 13.1928475 52.5497402, 13.1925338 52.5496456, 13.1922469 52.5495845, 13.1915362 52.5498847, 13.1917277 52.5500754, 13.1915422 52.5501478, 13.1916769 52.550642, 13.1919878 52.5512308, 13.1951292 52.5540228))",POINT (13.1935965 52.5517808),49898.5,537102.0
Helmut-Schleusener-Stadion,3,5076140,,,,sports_centre,,"POLYGON ((13.1921603 52.5459185, 13.1920487 52.5458037, 13.1930787 52.5441125, 13.1933108 52.5437378, 13.1950741 52.5438316, 13.1951581 52.5439141, 13.1947125 52.5446882, 13.1947153 52.5448096, 13.1947838 52.5449545, 13.1940847 52.545479, 13.1936672 52.5456137, 13.1933724 52.5456691, 13.1931641 52.5456273, 13.1931117 52.5457173, 13.1921603 52.5459185))",POINT (13.1936407 52.5447575),28972.0,311851.9
"Haus 4, Fledermausschauraum",4,5117218,,museum,arts_centre,,,"POLYGON ((13.2116601 52.5407966, 13.211834 52.5408216, 13.2118828 52.5408286, 13.2118792 52.5408378, 13.211864 52.5408771, 13.2117588 52.541148, 13.2117468 52.5411791, 13.2116785 52.541355, 13.2116555 52.5414142, 13.2115958 52.5414056, 13.2115861 52.5414308, 13.2115057 52.5414192, 13.2115154 52.5413941, 13.2114164 52.5413799, 13.2116437 52.5407942, 13.2116601 52.5407966))",POINT (13.2116482 52.5411086),1131.3,12177.5
,5,5117224,,public,arts_centre,,,"POLYGON ((13.2122029 52.5416805, 13.212194 52.5417111, 13.2120939 52.5417, 13.2121027 52.5416697, 13.2117827 52.5416351, 13.2116876 52.5416248, 13.2117272 52.5414882, 13.2133395 52.5416621, 13.2132995 52.5417991, 13.2127873 52.5417437, 13.2127785 52.5417739, 13.2126785 52.5417632, 13.2126873 52.5417329, 13.2122029 52.5416805))",POINT (13.2125119 52.5416457),1763.1,18978.3
,6,5117226,,public,,,,"POLYGON ((13.2137032 52.541009, 13.2135742 52.5413515, 13.2132619 52.541308, 13.2133767 52.5410033, 13.213391 52.5409655, 13.2137032 52.541009))",POINT (13.2134826 52.5411585),849.2,9140.6
Proviantmagazin,7,5117232,,public,,,,"POLYGON ((13.213728 52.5417925, 13.2135725 52.5417686, 13.213965 52.5407654, 13.2141302 52.5407902, 13.213915 52.5413201, 13.2139119 52.5413203, 13.213728 52.5417925))",POINT (13.2138503 52.5412732),1270.9,13679.6
,8,23403405,,,parking,,,"POLYGON ((13.2185611 52.5469791, 13.2197871 52.5473354, 13.2199123 52.5471722, 13.2187011 52.5468016, 13.2185611 52.5469791))",POINT (13.2192313 52.5470694),1929.3,20766.9
,9,23403406,,yes,,,,"POLYGON ((13.2179884 52.5479417, 13.2187199 52.5481559, 13.2193229 52.5473942, 13.2191341 52.5473389, 13.2190733 52.5474156, 13.2189465 52.5473785, 13.2189942 52.5473182, 13.2189147 52.547295, 13.2189311 52.5472742, 13.2187849 52.5472314, 13.2187692 52.5472513, 13.2186923 52.5472288, 13.2185962 52.5473502, 13.2184829 52.5473171, 13.2179884 52.5479417))",POINT (13.2186497 52.5476868),4924.7,53008.5
,10,23403407,,yes,studio,,,"POLYGON ((13.2188427 52.5481989, 13.2190906 52.5482739, 13.2193335 52.5479692, 13.2192878 52.5479555, 13.219656 52.547492, 13.2195075 52.5474463, 13.2191395 52.5479104, 13.2190849 52.5478955, 13.2188427 52.5481989))",POINT (13.2192359 52.5479012),1351.6,14548.9
,11,23403408,,yes,,,,"POLYGON ((13.2192202 52.5483134, 13.2194512 52.5483821, 13.2196636 52.5481182, 13.2197002 52.5481291, 13.2197918 52.5480153, 13.2197521 52.5480038, 13.2199903 52.5477025, 13.2200019 52.5477064, 13.2200546 52.5476378, 13.2198211 52.5475686, 13.2196343 52.5478007, 13.2195922 52.5477882, 13.2195035 52.5478984, 13.2195477 52.5479116, 13.2195257 52.5479389, 13.2195168 52.5479362, 13.219426 52.5480491, 13.2194382 52.5480527, 13.2192795 52.54825, 13.2192728 52.548248, 13.2192202 52.5483134))",POINT (13.2196362 52.5479739),1670.6,17981.9
,12,23403409,,yes,,,,"POLYGON ((13.2196108 52.5484418, 13.2198287 52.5485055, 13.220383 52.5478255, 13.2201588 52.5477495, 13.219815 52.5481394, 13.2198428 52.548146, 13.2196108 52.5484418))",POINT (13.2199954 52.5481233),1489.4,16032.1
Loftdepot,13,23403410,,yes,,,,"POLYGON ((13.2201638 52.5484946, 13.2204043 52.5485671, 13.2212924 52.5488348, 13.2214111 52.5486852, 13.2202847 52.5483443, 13.2201638 52.5484946))",POINT (13.2207873 52.5485895),1582.9,17038.6
