poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
1,tower,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
2,industrial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,0
3,ruins,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
4,house,"1,000 Sq. Ft. GFA",1,0.1,0.44,0,1
5,sports_centre,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
6,shed,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
7,bastion,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
8,container,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
9,parking,"1,000 Sq. Ft. GFA",1,0.43,0.1,1,0
10,pavilion,"1,000 Sq. Ft. GFA",1,0.1,6.29,0,1
11,fire_station,"1,000 Sq. Ft. GFA",1,0.48,0.1,1,0
12,collapsed,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
13,yes,"1,000 Sq. Ft. GFA",1,1.0,1.0,1,1
14,school,"1,000 Sq. Ft. GFA",1,1.37,0.1,1,0
15,office,"1,000 Sq. Ft. GFA",1,1.15,0.1,1,0
16,allotment_house,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
17,hospital,"1,000 Sq. Ft. GFA",1,0.97,0.1,1,0
18,garage,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
19,presbytery,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
20,warehouse,"1,000 Sq. Ft. GFA",1,0.19,0.1,1,0
21,public_building,"1,000 Sq. Ft. GFA",1,0.11,0.1,1,0
22,residential,"1,000 Sq. Ft. GFA",1,0.1,0.36,0,1
23,terrace,"1,000 Sq. Ft. GFA",1,0.1,0.44,0,1
24,bridge,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
25,garages,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
26,museum,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
27,kindergarten,"1,000 Sq. Ft. GFA",1,11.12,0.1,1,0
28,service,"1,000 Sq. Ft. GFA",1,0.48,0.1,1,0
29,semidetached_house,"1,000 Sq. Ft. GFA",1,0.1,0.99,0,1
30,silo,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
31,kiosk,"1,000 Sq. Ft. GFA",1,7.42,0.1,1,0
32,static_bus,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
33,construction,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
34,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
35,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.36,0,1
36,commercial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,0
37,public,"1,000 Sq. Ft. GFA",1,0.11,0.11,1,1
38,retail,"1,000 Sq. Ft. GFA",1,6.84,0.1,1,0
39,detached,"1,000 Sq. Ft. GFA",1,0.1,0.99,0,1
40,bungalow,"1,000 Sq. Ft. GFA",1,0.1,0.99,0,1
41,church,"1,000 Sq. Ft. GFA",1,0.49,0.1,1,0
42,temple,"1,000 Sq. Ft. GFA",1,4.22,0.1,1,0
43,ravelin,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
