activity_zone_id,name,geometry,centroid,centroid_x,centroid_y,access_node_vector,total_poi_count,residential_poi_count,office_poi_count,shopping_poi_count,school_poi_count,parking_poi_count,boundary_node_count,total_production,total_attraction
1,A1,"POLYGON ((13.18 52.554990000000004,13.18 52.56,13.18501 52.56,13.18501 52.554990000000004,13.18 52.554990000000004))",POINT (13.184365 52.5558743),13.184365,52.5558743,836,0,0,0,0,0,0,0,0.0,1000.0
2,A2,"POLYGON ((13.18501 52.554990000000004,13.18501 52.56,13.19002 52.56,13.19002 52.554990000000004,13.18501 52.554990000000004))",POINT (13.188915205263156 52.55547777368421),13.188915205263156,52.55547777368421,487;834;1882;1889;2863;4335;4338;4339;4340;4341;4359;4360;4361;4362;4363;4364;4365;4366;4367,15,0,0,0,0,0,0,3029.035648303999,3029.035648303999
3,A3,"POLYGON ((13.19002 52.554990000000004,13.19002 52.56,13.195030000000001 52.56,13.195030000000001 52.554990000000004,13.19002 52.554990000000004))",POINT (13.192887555555558 52.555590666666674),13.192887555555558,52.555590666666674,864;1510;1512;2143;2852;2861;2862;3311;3313;3315;3337;3338;3339;3340;3341;4333;4334;4342,14,0,0,0,0,0,0,3083.917382982271,4083.917382982271
4,A4,"POLYGON ((13.195030000000001 52.554990000000004,13.195030000000001 52.56,13.200040000000001 52.56,13.200040000000001 52.554990000000004,13.195030000000001 52.554990000000004))",POINT (13.1976345 52.555616928),13.1976345,52.555616928,549;1167;1253;1256;1347;1362;1444;2849;2877;2878;2879;2880;3228;3229;3230;3231;3232;3312;3314;4084;4086;4121;4126;4128;5571,18,1,0,0,0,0,0,5036.345635134849,5037.039692077441
5,A5,"POLYGON ((13.200040000000001 52.554990000000004,13.200040000000001 52.56,13.205050000000002 52.56,13.205050000000002 52.554990000000004,13.200040000000001 52.554990000000004))",POINT (13.202632289999997 52.55562101),13.202632289999997,52.55562101,1363;2307;2308;2310;2631;2675;2676;2820;2834;3545;3601;3602;3927;3930;4127;4129;5539;5540;5594;5595,16,9,0,0,0,0,0,3076.585868330625,2086.56713480544
6,A6,"POLYGON ((13.205050000000002 52.554990000000004,13.205050000000002 52.56,13.210060000000002 52.56,13.210060000000002 52.554990000000004,13.205050000000002 52.554990000000004))",POINT (13.20690262 52.555611025000005),13.20690262,52.555611025000005,371;1143;1204;1275;1315;1957;2090;2092;2167;2311;2312;2630;3342;3928;4218;4380;5451;5541;5542;5601,9,4,0,0,0,0,0,9022.324134891393,6027.70307619648
7,A7,"POLYGON ((13.210060000000002 52.554990000000004,13.210060000000002 52.56,13.215070000000003 52.56,13.215070000000003 52.554990000000004,13.210060000000002 52.554990000000004))",POINT (13.212299545454545 52.55560306363637),13.212299545454545,52.55560306363637,380;1961;3707;4393;4445;5452;5576;5577;5578;5579;5583,9,0,0,0,0,0,0,2110.6701135295366,2110.6701135295366
8,A8,"POLYGON ((13.215070000000003 52.554990000000004,13.215070000000003 52.56,13.220080000000003 52.56,13.220080000000003 52.554990000000004,13.215070000000003 52.554990000000004))",POINT (13.217711076923077 52.55553798461539),13.217711076923077,52.55553798461539,956;1489;1490;1491;1559;1561;1575;2629;2811;2819;3660;4298;4436,6,3,0,0,0,0,0,4008.883347614016,3012.0863644317437
9,A9,"POLYGON ((13.220080000000003 52.554990000000004,13.220080000000003 52.56,13.225090000000003 52.56,13.225090000000003 52.554990000000004,13.220080000000003 52.554990000000004))",POINT (13.221723546666665 52.555271426666664),13.221723546666665,52.555271426666664,22;725;1366;4424;4425;4426;4427;4428;4429;4430;4431;4432;4433;4476;4477,12,2,0,0,0,0,0,2003.6220558495997,2005.5698930755839
10,A10,"POLYGON ((13.225090000000003 52.554990000000004,13.225090000000003 52.56,13.230100000000004 52.56,13.230100000000004 52.554990000000004,13.225090000000003 52.554990000000004))",POINT (13.225669199999999 52.555672175),13.225669199999999,52.555672175,13;791;4478;5367,2,2,0,0,0,0,0,1002.266556612928,1008.1596038065408
