o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,volume,geometry
1,A1,1,A1,0.0,0,"LINESTRING (-77.0489015 38.9033981,-77.0489015 38.9033981)"
1,A1,2,A2,0.7160810449309465,15,"LINESTRING (-77.0489015 38.9033981,-77.0414839 38.9036322)"
1,A1,3,A3,1.3987336302744704,14,"LINESTRING (-77.0489015 38.9033981,-77.0344074 38.9036417)"
1,A1,4,A4,2.0892423399575564,12,"LINESTRING (-77.0489015 38.9033981,-77.027251 38.9036856)"
1,A1,5,A5,2.7622331812066223,7,"LINESTRING (-77.0489015 38.9033981,-77.0202783 38.903871)"
1,A1,6,B1,0.28538831989925,17,"LINESTRING (-77.0489015 38.9033981,-77.0476802 38.9007043)"
1,A1,7,B2,0.7815828141300971,18,"LINESTRING (-77.0489015 38.9033981,-77.0411809 38.9009477)"
1,A1,8,B3,1.4195522984480893,14,"LINESTRING (-77.0489015 38.9033981,-77.0343842 38.9010131)"
1,A1,9,B4,2.082143379202424,13,"LINESTRING (-77.0489015 38.9033981,-77.0274636 38.9009358)"
1,A1,10,B5,2.7648179290903805,11,"LINESTRING (-77.0489015 38.9033981,-77.0203858 38.9005876)"
1,A1,11,C1,0.5300821130625691,17,"LINESTRING (-77.0489015 38.9033981,-77.0479394 38.8979893)"
1,A1,12,C2,0.9294005016020077,17,"LINESTRING (-77.0489015 38.9033981,-77.0407941 38.8981974)"
1,A1,13,C3,1.489261113397558,10,"LINESTRING (-77.0489015 38.9033981,-77.0344299 38.8980324)"
1,A1,14,C4,2.1786217482782644,17,"LINESTRING (-77.0489015 38.9033981,-77.0269955 38.8979278)"
1,A1,15,C5,2.731307667357064,14,"LINESTRING (-77.0489015 38.9033981,-77.0210295 38.898457)"
1,A1,16,D1,0.7463517572193372,5,"LINESTRING (-77.0489015 38.9033981,-77.0483573 38.8956822)"
1,A1,17,D2,1.0516814427568375,8,"LINESTRING (-77.0489015 38.9033981,-77.0410475 38.8958409)"
1,A1,18,D3,1.5156694894929368,2,"LINESTRING (-77.0489015 38.9033981,-77.0350244 38.8960381)"
1,A1,19,D4,2.2063410911294534,20,"LINESTRING (-77.0489015 38.9033981,-77.0272977 38.8959062)"
1,A1,20,D5,2.7643230426814847,13,"LINESTRING (-77.0489015 38.9033981,-77.0214103 38.8953367)"
1,A1,21,E1,0.9672480508550106,4,"LINESTRING (-77.0489015 38.9033981,-77.0487146 38.8933755)"
1,A1,22,E2,1.28739888991496,2,"LINESTRING (-77.0489015 38.9033981,-77.0406261 38.8929322)"
1,A1,23,E3,1.7327086311044109,1,"LINESTRING (-77.0489015 38.9033981,-77.0343506 38.8928749)"
1,A1,24,E4,2.2830254020155225,23,"LINESTRING (-77.0489015 38.9033981,-77.0278688 38.8925604)"
1,A1,25,E5,2.8630535640621244,8,"LINESTRING (-77.0489015 38.9033981,-77.0210133 38.8932651)"
1,A1,26,Gate1,1.192852404106842,21,"LINESTRING (-77.0489015 38.9033981,-77.0548938 38.892585)"
1,A1,27,Gate2,0.9677830920915214,63,"LINESTRING (-77.0489015 38.9033981,-77.0548938 38.895355)"
1,A1,28,Gate3,0.7701854834276433,43,"LINESTRING (-77.0489015 38.9033981,-77.0548938 38.898125)"
1,A1,29,Gate4,0.6266111670075579,0,"LINESTRING (-77.0489015 38.9033981,-77.0548938 38.900895)"
1,A1,30,Gate5,0.5787674321736367,111,"LINESTRING (-77.0489015 38.9033981,-77.0548938 38.903665)"
1,A1,31,Gate6,0.3033955243972334,0,"LINESTRING (-77.0489015 38.9033981,-77.0480738 38.9064315)"
1,A1,32,Gate7,0.7938576230276693,22,"LINESTRING (-77.0489015 38.9033981,-77.0412538 38.9064315)"
1,A1,33,Gate8,1.4263455655239574,0,"LINESTRING (-77.0489015 38.9033981,-77.0344338 38.9064315)"
1,A1,34,Gate9,2.0748021795299603,18,"LINESTRING (-77.0489015 38.9033981,-77.0276138 38.9064315)"
1,A1,35,Gate10,2.727863112642269,0,"LINESTRING (-77.0489015 38.9033981,-77.0207938 38.9064315)"
1,A1,36,Gate11,3.3706391827898825,16,"LINESTRING (-77.0489015 38.9033981,-77.01397 38.9036615)"
1,A1,37,Gate12,3.3792097954608864,16,"LINESTRING (-77.0489015 38.9033981,-77.01397 38.9008915)"
1,A1,38,Gate13,3.408780352722987,31,"LINESTRING (-77.0489015 38.9033981,-77.01397 38.8981215)"
1,A1,39,Gate14,3.458812289597653,30,"LINESTRING (-77.0489015 38.9033981,-77.01397 38.8953515)"
1,A1,40,Gate15,3.528435308521846,30,"LINESTRING (-77.0489015 38.9033981,-77.01397 38.8925815)"
1,A1,41,Gate16,3.0125257906708276,16,"LINESTRING (-77.0489015 38.9033981,-77.02079 38.889815)"
1,A1,42,Gate17,2.436882432497505,52,"LINESTRING (-77.0489015 38.9033981,-77.02761 38.889815)"
1,A1,43,Gate18,1.9150903387089928,37,"LINESTRING (-77.0489015 38.9033981,-77.03443 38.889815)"
1,A1,44,Gate19,1.5042728097828981,20,"LINESTRING (-77.0489015 38.9033981,-77.04125 38.889815)"
1,A1,45,Gate20,1.3130853103768323,60,"LINESTRING (-77.0489015 38.9033981,-77.04807 38.889815)"
2,A2,1,A1,0.7160810449309465,13,"LINESTRING (-77.0414839 38.9036322,-77.0489015 38.9033981)"
