name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
K Street Northwest,0,6051343,409,284,1,39.13146938491557,2,,,primary,3,"LINESTRING (-77.0496361 38.9021712, -77.0494521 38.9022419, -77.0493527 38.9023016, -77.0493395 38.9023095, -77.0492507 38.9023528)",auto,0
12th Street Northwest,1,6052416,563,6,1,70.90842922363123,1,,,tertiary,5,"LINESTRING (-77.02789919999999 38.8916, -77.0279 38.891801, -77.027896 38.891859, -77.02788030000001 38.8919243, -77.027854 38.891948, -77.02781400000001 38.891984, -77.0277 38.892037, -77.027546 38.8920871)",auto,0
,2,6052475,7,194,1,33.508952497389515,1,,,primary,3,"LINESTRING (-77.0486234 38.8962602, -77.04856270000001 38.8961674, -77.0485681 38.8961048, -77.04859759999999 38.8960651, -77.0486808 38.8960046)",auto,0
K Street Northwest,3,6052709,411,263,1,35.37019269587155,2,,,primary,3,"LINESTRING (-77.0506311 38.9028884, -77.0507775 38.9028158, -77.050853 38.9027761, -77.0509723 38.9027133)",auto,0
L Street Northwest,4,6052882,10,11,1,53.40154600281147,1,,,tertiary,5,"LINESTRING (-77.0270245 38.9041663, -77.02720069999999 38.9041652, -77.02740369999999 38.9041639, -77.0276415 38.9041698)",auto,0
E Street Expressway,5,6052895,181,178,1,146.74699822539498,2,,,motorway,1,"LINESTRING (-77.04491659999999 38.8959783, -77.04497189999999 38.8959516, -77.0450246 38.8959332, -77.045159 38.8959004, -77.04551309999999 38.8958293, -77.0458484 38.895775, -77.0461032 38.8957499, -77.0463177 38.8957416, -77.04656989999999 38.8957395)",auto,0
K Street Northwest,6,6053339,564,13,1,38.93662720352591,2,,,primary,3,"LINESTRING (-77.05119999999999 38.902405, -77.0510562 38.9024056, -77.05091179999999 38.9023932, -77.0509017 38.9023923, -77.0507556 38.9023635)",auto,0
,7,6053418,302,189,1,41.23854467781247,1,,,secondary,4,"LINESTRING (-77.0428946 38.9000083, -77.042872 38.900044, -77.04284199999999 38.900082, -77.04278770000001 38.900129, -77.04271199999999 38.900165, -77.042659 38.900181, -77.0425221 38.9002083)",auto,0
21st Street Northwest,8,6053702,16,17,1,158.66640125100147,2,,,tertiary,5,"LINESTRING (-77.04666779999999 38.8920897, -77.04667240000001 38.8927426, -77.0466759 38.8932431, -77.0466778 38.8935166)",auto,1
21st Street Northwest,9,6053702,17,16,1,158.6664012510015,2,,,tertiary,5,"LINESTRING (-77.0466778 38.8935166, -77.0466759 38.8932431, -77.04667240000001 38.8927426, -77.04666779999999 38.8920897)",auto,1
C Street Northwest,10,6054252,44,45,1,197.58093696056216,1,,,tertiary,5,"LINESTRING (-77.03947239999999 38.8935512, -77.039584 38.8935501, -77.0408358 38.8935455, -77.0416058 38.8935426, -77.0417542 38.8935281)",auto,0
C Street Northwest,11,6054254,47,1939,1,84.09425596006079,1,,,tertiary,5,"LINESTRING (-77.0449284 38.893516, -77.04484859999999 38.8934895, -77.0447587 38.8934912, -77.0445344 38.8935472, -77.0444013 38.8935909, -77.04426599999999 38.893638, -77.0441958 38.893672, -77.0441374 38.8937108, -77.0440779 38.8937803)",auto,0
C Street Northwest,13,6054255,565,1941,1,134.8149973700254,,,,tertiary,5,"LINESTRING (-77.0183 38.8935947, -77.01975849999999 38.8936007, -77.0198577 38.8936027)",auto,1
C Street Northwest,14,6054255,1941,565,1,134.8149973700254,,,,tertiary,5,"LINESTRING (-77.0198577 38.8936027, -77.01975849999999 38.8936007, -77.0183 38.8935947)",auto,1
Henry Bacon Drive Northwest,15,6054355,566,41,1,62.04351277913658,2,25,,secondary,4,"LINESTRING (-77.0483189 38.8916, -77.04824499999999 38.891695, -77.048101 38.891878, -77.0480788 38.8919131, -77.047972 38.8920875)",auto,1
Henry Bacon Drive Northwest,16,6054355,41,566,1,62.04351277913658,2,25,,secondary,4,"LINESTRING (-77.047972 38.8920875, -77.0480788 38.8919131, -77.048101 38.891878, -77.04824499999999 38.891695, -77.0483189 38.8916)",auto,1
G Street Northwest,18,6054886,471,285,1,38.38357966813693,1,,,tertiary,5,"LINESTRING (-77.02250170000001 38.8984656, -77.02265269999999 38.8984653, -77.0228316 38.8984649, -77.0229452 38.8984625)",auto,1
G Street Northwest,19,6054886,285,471,1,38.38357966813693,1,,,tertiary,5,"LINESTRING (-77.0229452 38.8984625, -77.0228316 38.8984649, -77.02265269999999 38.8984653, -77.02250170000001 38.8984656)",auto,1
G Street Northwest,20,6054895,56,57,1,151.9648166315062,,,,residential,6,"LINESTRING (-77.0417152 38.8983143, -77.0418007 38.8983158, -77.0433574 38.89832, -77.0434712 38.8983204)",auto,0
G Street Northwest,21,6054895,57,58,1,124.33972418852001,,,,residential,6,"LINESTRING (-77.0434712 38.8983204, -77.04357400000001 38.8983215, -77.0448212 38.8983221, -77.04490800000001 38.898322)",auto,0
G Street Northwest,22,6054895,58,308,1,151.66782745316073,,,,residential,6,"LINESTRING (-77.04490800000001 38.898322, -77.04639709999999 38.8983228, -77.0465535 38.8983229, -77.0466606 38.898323)",auto,0
G Street Northwest,23,6054895,308,59,1,189.2084996178505,,,,residential,6,"LINESTRING (-77.0466606 38.898323, -77.0467475 38.8983231, -77.04754490000001 38.8983234, -77.0483811 38.8983237, -77.04875199999999 38.8983238, -77.04884699999999 38.8983243)",auto,0
G Street Northwest,24,6054895,59,60,1,110.86621647233603,,,,residential,6,"LINESTRING (-77.04884699999999 38.8983243, -77.0489269 38.8983246, -77.04968239999999 38.8983276, -77.05000099999999 38.8983289, -77.05012809999999 38.8983294)",auto,0
G Street Northwest,25,6054895,60,567,1,92.76481667737052,,,,residential,6,"LINESTRING (-77.05012809999999 38.8983294, -77.0508554 38.8983242, -77.05119999999999 38.8983217)",auto,0
15th Street Northwest,26,6055102,326,443,1,59.723487614557534,2,,,primary,3,"LINESTRING (-77.0336404 38.8921083, -77.0336338 38.8922486, -77.03363779999999 38.8926453)",auto,1
15th Street Northwest,27,6055102,443,326,1,59.723487614557534,3,,,primary,3,"LINESTRING (-77.03363779999999 38.8926453, -77.0336338 38.8922486, -77.0336404 38.8921083)",auto,1
,28,6055382,195,71,1,63.64503971122436,1,,,motorway,1,"LINESTRING (-77.0480093 38.8953755, -77.0478251 38.8953742, -77.047759 38.8953837, -77.0476826 38.8954124, -77.047622 38.8954411, -77.0475462 38.8954932, -77.04747380000001 38.8955558, -77.047406 38.8956318)",auto,0
