name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes,activity_zone_id,production,attraction,activity_location_tab
,1,49718849,,,0.0,,primary,0.0,-77.0501283,38.8957332,,,,,0.0,0.0,
,2,49718886,,,0.0,,motorway,0.0,-77.0487386,38.8958041,,,,,0.0,0.0,
,3,49722979,,,0.0,,motorway,0.0,-77.04653499999999,38.8956539,,,,,0.0,0.0,
,4,49722994,traffic_signals,,1.0,,tertiary,0.0,-77.0449266,38.8954286,,,,,0.0,0.0,
,5,49729677,traffic_signals,,1.0,,primary,0.0,-77.04947609999999,38.9027152,,,,,0.0,0.0,
,6,49729890,,,0.0,,primary,0.0,-77.027546,38.892087100000005,,,,,0.0,0.0,
,7,49730319,,,0.0,,secondary,0.0,-77.04862340000001,38.8962602,,,,,0.0,0.0,
,8,49732286,traffic_signals,,1.0,,primary,0.0,-77.0281418,38.892089299999995,,,,,0.0,0.0,
,9,49732346,,,0.0,,primary,0.0,-77.0506012,38.9029136,,,,,0.0,0.0,
,10,49734104,traffic_signals,,1.0,,primary,0.0,-77.0270245,38.90416629999999,,,,,0.0,0.0,
,11,49734107,,,0.0,,primary,0.0,-77.0276415,38.9041698,,,,,0.0,0.0,
,12,49734172,,,0.0,,motorway,0.0,-77.0487416,38.8958963,,,,,0.0,0.0,
,13,49737731,,,0.0,,primary,0.0,-77.0507556,38.9023635,,,,,0.0,0.0,
,14,49738041,,,0.0,,primary,0.0,-77.0501553,38.8924286,,,,,0.0,0.0,
,15,49738093,,,0.0,,primary,0.0,-77.04975309999999,38.90209779999999,,,,,0.0,0.0,
,16,49741647,traffic_signals,,1.0,,primary,0.0,-77.0466678,38.89208970000001,,,,,0.0,0.0,
,17,49741652,traffic_signals,,1.0,,tertiary,0.0,-77.0466778,38.893516600000005,,,,,0.0,0.0,
,19,49741673,traffic_signals,,1.0,,primary,0.0,-77.0466663,38.8960156,,,,,0.0,0.0,
,20,49741695,traffic_signals,,1.0,,residential,0.0,-77.0466574,38.8995741,,,,6,10.0,10.0,residential
,21,49741703,,,0.0,,tertiary,0.0,-77.0466546,38.9006944,,,,,0.0,0.0,
,23,49741710,traffic_signals,,1.0,,tertiary,0.0,-77.046647,38.9037424,,,,,0.0,0.0,
,24,49745618,,,0.0,,secondary,0.0,-77.0319535,38.894651700000004,,,,,0.0,0.0,
,25,49745628,traffic_signals,,1.0,,secondary,0.0,-77.03195,38.89735039999999,,,,,0.0,0.0,
,26,49745629,traffic_signals,,1.0,,secondary,0.0,-77.03195059999999,38.8983201,,,,,0.0,0.0,
