name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2,activity_zone_id
,0,48040783.0,,yes,,,"POLYGON ((-77.0196416 38.8937248, -77.0196619 38.8937244, -77.0196625 38.8937436, -77.01964220000001 38.893744, -77.0196416 38.8937248))",POINT (-77.01965199999999 38.8937342),3.8,40.5,25
,1,48040787.0,,yes,,,"POLYGON ((-77.01870409999999 38.8933557, -77.01870630000001 38.8928222, -77.01870599999999 38.8928221, -77.018852 38.8928624, -77.01886759999999 38.8928282, -77.019008 38.892867, -77.0190588 38.8927555, -77.019526 38.8928846, -77.0195318 38.8928719, -77.0196979 38.8929178, -77.01969149999999 38.8929319, -77.01972550000001 38.8929413, -77.019676 38.8930495, -77.0197354 38.893066, -77.0196794 38.8931884, -77.0196298 38.8931746, -77.0196212 38.8931934, -77.019645 38.8932, -77.0196292 38.8932345, -77.0197301 38.8932625, -77.0197292 38.8934814, -77.01877760000001 38.8934791, -77.01877810000001 38.8933559, -77.01870409999999 38.8933557))",POINT (-77.0192041 38.893157),6073.7,65376.3,25
Superior Court of the District of Columbia - Building A,2,48040819.0,,courthouse,,,"POLYGON ((-77.0181189 38.8971255, -77.0181188 38.8971183, -77.0180792 38.8971185, -77.01807839999999 38.8969759, -77.0181214 38.8969757, -77.018119 38.8964278, -77.01808269999999 38.8964279, -77.01808200000001 38.8962871, -77.01811789999999 38.896287, -77.0181178 38.8962818, -77.0184328 38.8962811, -77.018433 38.8962882, -77.0184763 38.896288, -77.018477 38.8964342, -77.01843 38.8964343, -77.0184323 38.8969738, -77.018474 38.8969737, -77.018474 38.8969796, -77.0184746 38.8970941, -77.0184747 38.8971199, -77.0184296 38.89712, -77.0184297 38.8971246, -77.0181189 38.8971255))",POINT (-77.0182768 38.8967035),2759.2,29700.2,20
Meridian Gallery Place Apartments,3,48040851.0,,yes,,,"POLYGON ((-77.0185591 38.9007457, -77.01851600000001 38.9007451, -77.0185171 38.9006338, -77.0185381 38.900633, -77.0185393 38.900607, -77.0185184 38.9006066, -77.0185197 38.9005693, -77.01854 38.9005682, -77.0185398 38.9005404, -77.018518 38.9005406, -77.0185183 38.9005024, -77.01854160000001 38.9005028, -77.0185407 38.9004633, -77.01852359999999 38.9004493, -77.018506 38.900462, -77.0185058 38.9004883, -77.0184599 38.9004884, -77.0184605 38.9005129, -77.0184217 38.900513, -77.0184199 38.9005274, -77.0183797 38.9005418, -77.0183384 38.9005402, -77.0183068 38.9005273, -77.0183071 38.900513, -77.01826749999999 38.9005134, -77.0182677 38.9004892, -77.0182418 38.9004887, -77.01822300000001 38.9004884, -77.0182227 38.9004651, -77.01820720000001 38.9004528, -77.01818919999999 38.9004527, -77.01817370000001 38.9004789, -77.01819279999999 38.9004853, -77.01818780000001 38.9004949, -77.01817459999999 38.9005207, -77.0181552 38.9005147, -77.0181401 38.900539, -77.01813660000001 38.9005445, -77.0181558 38.9005475, -77.0181364 38.9005806, -77.01811739999999 38.9005743, -77.0181018 38.9006014, -77.0180122 38.9005694, -77.0180057 38.9005798, -77.0179637 38.900565, -77.01796880000001 38.9005546, -77.0179349 38.9005433, -77.0179287 38.9005524, -77.01768920000001 38.900469, -77.0176951 38.9004594, -77.01766189999999 38.9004474, -77.0176542 38.9004565, -77.0176122 38.9004415, -77.0176184 38.9004326, -77.01757790000001 38.9004175, -77.017571 38.9004264, -77.01752639999999 38.900411, -77.0176096 38.900259, -77.0177273 38.9002586, -77.0177597 38.9002685, -77.0177643 38.9002605, -77.0177834 38.9002591, -77.01781320000001 38.9002694, -77.0178035 38.9002837, -77.0178386 38.9002961, -77.01784739999999 38.9002818, -77.0178894 38.9002972, -77.017882 38.9003106, -77.0179194 38.9003253, -77.0179284 38.900311, -77.0180065 38.9003373, -77.0179972 38.9003519, -77.01803270000001 38.9003646, -77.0180529 38.9003647, -77.0180515 38.9003011, -77.0180943 38.9003013, -77.01809470000001 38.9002878, -77.01814210000001 38.9002877, -77.01814349999999 38.9003008, -77.01821459999999 38.9003003, -77.01821510000001 38.9002871, -77.0182583 38.9002869, -77.0182576 38.9002792, -77.0182724 38.9002789, -77.0182714 38.9002595, -77.01845830000001 38.9002594, -77.0184582 38.900279, -77.0184704 38.9002789, -77.0184711 38.9002881, -77.01851240000001 38.900288, -77.01851310000001 38.9003017, -77.01854779999999 38.900303, -77.0185484 38.9002878, -77.0185862 38.9002888, -77.0185867 38.9002616, -77.018787 38.9002601, -77.018787 38.9002658, -77.0188004 38.9002658, -77.0188 38.9003029, -77.0187878 38.9003019, -77.0187864 38.9003404, -77.01880180000001 38.9003417, -77.01879959999999 38.9003769, -77.01878050000001 38.9003768, -77.0187803 38.9004061, -77.01880130000001 38.9004056, -77.0188003 38.9004438, -77.01878000000001 38.9004434, -77.0187806 38.9004727, -77.01880010000001 38.900473, -77.0188003 38.9005094, -77.01878000000001 38.9005091, -77.0187786 38.900539, -77.0188016 38.9005382, -77.0187999 38.9005748, -77.0187804 38.9005754, -77.01877930000001 38.9006047, -77.0187988 38.9006041, -77.0187986 38.9006409, -77.0187799 38.9006408, -77.01878019999999 38.9006689, -77.01878809999999 38.9006692, -77.0187861 38.9007465, -77.0187421 38.9007452, -77.01874100000001 38.9007559, -77.01869859999999 38.9007548, -77.0186963 38.9007456, -77.0186058 38.9007461, -77.0186053 38.9007572, -77.0185591 38.900757, -77.0185591 38.9007457))",POINT (-77.01828039999999 38.900442),3348.0,36037.2,10
Saint Marys Catholic Church,4,48040863.0,,place_of_worship,,,"POLYGON ((-77.0184052 38.8994409, -77.0184052 38.8994044, -77.018362 38.899405, -77.0183249 38.899376, -77.0183241 38.8993341, -77.018361 38.8993058, -77.0184062 38.8993051, -77.0184047 38.8992714, -77.01874340000001 38.8992699, -77.0187442 38.8993153, -77.01876 38.8993151, -77.01877279999999 38.8993256, -77.0187737 38.8993367, -77.0187676 38.8993424, -77.01876179999999 38.8993478, -77.01874599999999 38.8993484, -77.018747 38.8993629, -77.01876420000001 38.8993623, -77.0187797 38.8993709, -77.01877899999999 38.8993846, -77.0187677 38.8993955, -77.018747 38.8993973, -77.01874599999999 38.8994378, -77.0184052 38.8994409))",POINT (-77.0185584 38.8993552),635.4,6839.3,15
,5,48040866.0,,yes,,,"POLYGON ((-77.0186641 38.8995534, -77.0186638 38.8995227, -77.0185719 38.8995232, -77.0185714 38.8994705, -77.0187897 38.8994693, -77.0187904 38.8995527, -77.01878499999999 38.8995528, -77.0186641 38.8995534))",POINT (-77.0186925 38.8995067),147.1,1583.3,15
,6,48040867.0,,yes,,,"POLYGON ((-77.0181894 38.8995293, -77.01818950000001 38.8994899, -77.01836 38.899491, -77.01835989999999 38.8996838, -77.01817339999999 38.8996838, -77.0181735 38.8995293, -77.0181894 38.8995293))",POINT (-77.0182681 38.8995885),341.4,3674.8,10
H. Carl Moultrie Courthouse,7,48040872.0,,yes,,,"POLYGON ((-77.01787469999999 38.8944739, -77.0178746 38.8944493, -77.0178184 38.8944494, -77.0178181 38.8943213, -77.0178739 38.8943212, -77.0178738 38.8942958, -77.0179581 38.8942957, -77.01795730000001 38.8939222, -77.018018 38.8939222, -77.0180179 38.8938442, -77.0180804 38.8938442, -77.0180804 38.8938201, -77.0186491 38.8938195, -77.0186491 38.8938454, -77.018717 38.8938453, -77.0187171 38.8938997, -77.0191027 38.8938992, -77.0191026 38.8938446, -77.0195909 38.8938439, -77.0195911 38.8939217, -77.0196475 38.8939216, -77.0196483 38.8942016, -77.01958810000001 38.8942017, -77.0195883 38.8942791, -77.019103 38.8942801, -77.01910289999999 38.8942438, -77.01904159999999 38.894244, -77.01904159999999 38.8942267, -77.01877709999999 38.8942273, -77.0187777 38.8943916, -77.018709 38.8943917, -77.0187092 38.8944437, -77.0186451 38.8944439, -77.01864519999999 38.894467, -77.0181573 38.8944682, -77.0181575 38.8945116, -77.01797379999999 38.894512, -77.0179737 38.8944737, -77.01787469999999 38.8944739))",POINT (-77.018681 38.8941244),8433.2,90774.0,20
Government Accountability Office,8,48040885.0,,house,,,"POLYGON ((-77.01642560000001 38.8986222, -77.01649500000001 38.8986223, -77.01649519999999 38.8985955, -77.01653399999999 38.8985945, -77.0165336 38.8985314, -77.0175483 38.8985367, -77.0185673 38.898542, -77.0185676 38.8985965, -77.0186088 38.8985955, -77.0186089 38.898626, -77.0186765 38.8986243, -77.01867679999999 38.8990167, -77.0180885 38.8990141, -77.0180845 38.8996169, -77.01652799999999 38.899614, -77.0165281 38.8995601, -77.0164917 38.8995597, -77.01649089999999 38.8995296, -77.0164204 38.8995294, -77.0164209 38.8994429, -77.01642560000001 38.8986222))",POINT (-77.017409 38.8990371),19750.5,212592.9,15
,9,48040890.0,,yes,,,"POLYGON ((-77.01838840000001 38.8991327, -77.018772 38.8991312, -77.0187725 38.899251, -77.018389 38.8992486, -77.01838840000001 38.8991327))",POINT (-77.0185815 38.8991909),434.6,4677.6,15
