poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
1,construction,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
2,police,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
3,bench,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
4,parking,"1,000 Sq. Ft. GFA",1,0.43,0.1,1,0
5,church;yes,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
6,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
7,cinema,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
8,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
9,courthouse,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
10,place_of_worship,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
11,residential,"1,000 Sq. Ft. GFA",1,0.1,0.36,0,1
12,part,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
13,civic,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
14,college,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
15,fire_station,"1,000 Sq. Ft. GFA",1,0.48,0.1,1,0
16,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.36,0,1
17,Gym,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
18,bicycle_parking,"1,000 Sq. Ft. GFA",1,0.43,0.1,1,0
19,Hotel,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
20,office,"1,000 Sq. Ft. GFA",1,1.15,0.1,1,0
21,arts_centre,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
22,house,"1,000 Sq. Ft. GFA",1,0.1,0.44,0,1
23,pub,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
24,convenience,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
25,parking_entrance,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
26,theatre,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
27,hospital,"1,000 Sq. Ft. GFA",1,0.97,0.1,1,0
28,pharmacy,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
29,library,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
30,commercial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,0
31,fountain,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
32,school,"1,000 Sq. Ft. GFA",1,1.37,0.1,1,0
33,hotel,"1,000 Sq. Ft. GFA",1,0.1,0.6,0,1
34,restaurant,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
35,yes,"1,000 Sq. Ft. GFA",1,1.0,1.0,1,1
36,fast_food,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
37,retail,"1,000 Sq. Ft. GFA",1,6.84,0.1,1,0
38,conference_centre,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
39,shelter,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
40,toilets,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
41,embassy,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
42,dormitory,"1,000 Sq. Ft. GFA",1,0.1,0.36,0,1
43,government,"1,000 Sq. Ft. GFA",1,1.71,0.1,1,0
44,public,"1,000 Sq. Ft. GFA",1,0.11,0.11,1,1
45,nightclub,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
46,bank,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
