activity_zone_id,name,centroid_x,centroid_y,geometry,centroid,total_poi_count,residential_poi_count,office_poi_count,shopping_poi_count,school_poi_count,parking_poi_count,boundary_node_count,total_production,total_attraction
1,A1,-77.04890153020834,38.90339808333332,"POLYGON ((-77.05148 38.902280000000005,-77.05148 38.90505,-77.04466 38.90505,-77.04466 38.902280000000005,-77.05148 38.902280000000005))",POINT (-77.04890153020834 38.90339808333332),96,4,0,1,3,8,0,844.0478253270337,684.8038331279233
2,A2,-77.04148392727274,38.903632243181825,"POLYGON ((-77.04466 38.902280000000005,-77.04466 38.90505,-77.03783999999999 38.90505,-77.03783999999999 38.902280000000005,-77.04466 38.902280000000005))",POINT (-77.04148392727274 38.903632243181825),44,1,3,0,0,6,0,742.3576762712639,668.437867088064
3,A3,-77.03440742592592,38.90364168333332,"POLYGON ((-77.03783999999999 38.902280000000005,-77.03783999999999 38.90505,-77.03101999999998 38.90505,-77.03101999999998 38.902280000000005,-77.03783999999999 38.902280000000005))",POINT (-77.03440742592592 38.90364168333332),54,0,1,1,0,2,0,729.8692152026176,703.8141044522879
4,A4,-77.02725101632652,38.903685642857134,"POLYGON ((-77.03101999999998 38.902280000000005,-77.03101999999998 38.90505,-77.02419999999998 38.90505,-77.02419999999998 38.902280000000005,-77.03101999999998 38.902280000000005))",POINT (-77.02725101632652 38.903685642857134),49,0,0,0,0,1,0,596.3070090494338,654.1352135049601
5,A5,-77.02027829137931,38.903870953448276,"POLYGON ((-77.02419999999998 38.902280000000005,-77.02419999999998 38.90505,-77.01737999999997 38.90505,-77.01737999999997 38.902280000000005,-77.02419999999998 38.902280000000005))",POINT (-77.02027829137931 38.903870953448276),56,0,1,0,0,3,0,452.5258671580673,388.14464787057284
6,B1,-77.04768015689655,38.90070434482759,"POLYGON ((-77.0514838 38.89951000000001,-77.0514838 38.902280000000005,-77.0446638 38.902280000000005,-77.0446638 38.89951000000001,-77.0514838 38.89951000000001))",POINT (-77.04768015689655 38.90070434482759),52,3,0,2,4,6,0,973.3981069754944,698.8563163042176
7,B2,-77.04118089870128,38.900947742857156,"POLYGON ((-77.0446638 38.89951000000001,-77.0446638 38.902280000000005,-77.03784379999999 38.902280000000005,-77.03784379999999 38.89951000000001,-77.0446638 38.89951000000001))",POINT (-77.04118089870128 38.900947742857156),76,0,4,2,0,9,0,966.2277602766467,830.9699045542402
8,B3,-77.0343842241936,38.9010130983871,"POLYGON ((-77.03784379999999 38.89951000000001,-77.03784379999999 38.902280000000005,-77.03102379999999 38.902280000000005,-77.03102379999999 38.89951000000001,-77.03784379999999 38.89951000000001))",POINT (-77.0343842241936 38.9010130983871),62,1,3,0,0,0,0,762.3632756264063,674.6334232195584
9,B4,-77.0274636232558,38.90093577209303,"POLYGON ((-77.03102379999999 38.89951000000001,-77.03102379999999 38.902280000000005,-77.02420379999998 38.902280000000005,-77.02420379999998 38.89951000000001,-77.03102379999999 38.89951000000001))",POINT (-77.0274636232558 38.90093577209303),43,4,4,0,0,1,0,743.1964216974528,680.9756483941632
10,B5,-77.02038576302519,38.90058759243698,"POLYGON ((-77.02420379999998 38.89951000000001,-77.02420379999998 38.902280000000005,-77.01738379999998 38.902280000000005,-77.01738379999998 38.89951000000001,-77.02420379999998 38.89951000000001))",POINT (-77.02038576302519 38.90058759243698),118,3,1,1,1,4,0,755.5645358050047,635.9474814788096
11,C1,-77.04793939401202,38.89798934371256,"POLYGON ((-77.0514838 38.89674000000001,-77.0514838 38.89951000000001,-77.0446638 38.89951000000001,-77.0446638 38.89674000000001,-77.0514838 38.89674000000001))",POINT (-77.04793939401202 38.89798934371256),162,18,0,2,7,14,0,853.6626560777219,731.7084338863745
12,C2,-77.04079409387755,38.89819744285714,"POLYGON ((-77.0446638 38.89674000000001,-77.0446638 38.89951000000001,-77.03784379999999 38.89951000000001,-77.03784379999999 38.89674000000001,-77.0446638 38.89674000000001))",POINT (-77.04079409387755 38.89819744285714),47,2,3,0,1,3,0,1022.0590376319424,769.2272146524544
13,C3,-77.03442988275866,38.898032377586205,"POLYGON ((-77.03784379999999 38.89674000000001,-77.03784379999999 38.89951000000001,-77.03102379999999 38.89951000000001,-77.03102379999999 38.89674000000001,-77.03784379999999 38.89674000000001))",POINT (-77.03442988275866 38.898032377586205),58,0,1,0,0,1,0,628.8433608771841,487.9961939848321
14,C4,-77.02699546750003,38.89792784500001,"POLYGON ((-77.03102379999999 38.89674000000001,-77.03102379999999 38.89951000000001,-77.02420379999998 38.89951000000001,-77.02420379999998 38.89674000000001,-77.03102379999999 38.89674000000001))",POINT (-77.02699546750003 38.89792784500001),80,0,1,1,0,1,0,1098.9424118038467,937.9740411586564
15,C5,-77.02102946599999,38.898457042,"POLYGON ((-77.02420379999998 38.89674000000001,-77.02420379999998 38.89951000000001,-77.01738379999998 38.89951000000001,-77.01738379999998 38.89674000000001,-77.02420379999998 38.89674000000001))",POINT (-77.02102946599999 38.898457042),49,1,0,0,0,2,0,740.255004515264,802.8768518839679
16,D1,-77.04835728888887,38.895682237037036,"POLYGON ((-77.0514838 38.89397000000001,-77.0514838 38.89674000000001,-77.0446638 38.89674000000001,-77.0446638 38.89397000000001,-77.0514838 38.89397000000001))",POINT (-77.04835728888887 38.895682237037036),27,1,1,2,0,3,0,687.3660635956288,199.98759966474242
17,D2,-77.04104754999999,38.895840865625,"POLYGON ((-77.0446638 38.89397000000001,-77.0446638 38.89674000000001,-77.03784379999999 38.89674000000001,-77.03784379999999 38.89397000000001,-77.0446638 38.89397000000001))",POINT (-77.04104754999999 38.895840865625),31,1,5,1,2,5,0,844.0425230402944,376.1235622343168
18,D3,-77.03502443333335,38.89603812857143,"POLYGON ((-77.03784379999999 38.89397000000001,-77.03784379999999 38.89674000000001,-77.03102379999999 38.89674000000001,-77.03102379999999 38.89397000000001,-77.03784379999999 38.89397000000001))",POINT (-77.03502443333335 38.89603812857143),21,0,0,0,0,2,0,74.09185952703359,66.77703970041598
