link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
1,Duke Street Hill,742018,1,2,1,"LINESTRING (-0.0883379 51.5061683, -0.0883671 51.5062002, -0.0884004 51.5062506, -0.0884049 51.5062641, -0.0884068 51.5062777, -0.0884029 51.5062948)",1,15.11,primary,3,32,1,,auto,
2,Borough High Street,1530592,1,3,1,"LINESTRING (-0.0883379 51.5061683, -0.0883379 51.5061323, -0.0883667 51.5060762)",1,10.55,primary,3,48,3,,auto,
3,Upper Ground,2423885,4,5,1,"LINESTRING (-0.113894 51.5063098, -0.1135137 51.5063986, -0.1132876 51.5064435, -0.1129577 51.5065091, -0.1127652 51.5065594)",1,82.96,unclassified,20,32,,,auto,
4,Upper Ground,2423885,5,4,1,"LINESTRING (-0.1127652 51.5065594, -0.1129577 51.5065091, -0.1132876 51.5064435, -0.1135137 51.5063986, -0.113894 51.5063098)",1,82.96,unclassified,20,32,,,auto,
5,Southwark Bridge,2700151,6,7,1,"LINESTRING (-0.0940433 51.5088978, -0.0946146 51.5079246)",1,115.21,primary,3,32,,,auto,
6,Southwark Bridge,2700151,7,6,1,"LINESTRING (-0.0946146 51.5079246, -0.0940433 51.5088978)",1,115.21,primary,3,32,,,auto,
7,Southwark Street,2700212,8,9,1,"LINESTRING (-0.104463 51.5071382, -0.1043284 51.5071208)",1,9.51,primary,3,32,,,auto,
8,Southwark Street,2700212,9,8,1,"LINESTRING (-0.1043284 51.5071208, -0.104463 51.5071382)",1,9.51,primary,3,32,,,auto,
9,Harper Road,2700324,10,11,1,"LINESTRING (-0.0969407 51.4991103, -0.0967984 51.4990249)",1,13.68,secondary,4,32,,,auto,
10,Harper Road,2700324,11,10,1,"LINESTRING (-0.0967984 51.4990249, -0.0969407 51.4991103)",1,13.68,secondary,4,32,,,auto,
11,Blackfriars Road,2731109,12,13,1,"LINESTRING (-0.1046354 51.4990283, -0.1046371 51.4989939)",1,3.83,primary,3,32,,,auto,
12,Blackfriars Road,2731109,14,12,1,"LINESTRING (-0.1046858 51.4991138, -0.1046397 51.4990731, -0.1046354 51.4990283)",1,10.53,primary,3,32,,,auto,
13,Belvedere Road,2731434,15,16,1,"LINESTRING (-0.117567 51.5029146, -0.1175853 51.5030308, -0.1175634 51.5030942, -0.117515 51.5031913, -0.1173889 51.5034407, -0.1173087 51.5035871, -0.117157 51.5038712)",1,111.06,residential,6,32,,,auto,
14,Belvedere Road,2731434,16,15,1,"LINESTRING (-0.117157 51.5038712, -0.1173087 51.5035871, -0.1173889 51.5034407, -0.117515 51.5031913, -0.1175634 51.5030942, -0.1175853 51.5030308, -0.117567 51.5029146)",1,111.06,residential,6,32,,,auto,
15,Hatfields,2731436,17,18,1,"LINESTRING (-0.1073284 51.5070868, -0.1073107 51.5070397, -0.1071881 51.5067127, -0.1071412 51.5065876, -0.1071362 51.5065735, -0.1071058 51.5064889, -0.1070556 51.5063479, -0.1069432 51.5061258, -0.1067551 51.505639)",1,165.87,residential,6,32,,,auto,
16,Hatfields,2731436,18,17,1,"LINESTRING (-0.1067551 51.505639, -0.1069432 51.5061258, -0.1070556 51.5063479, -0.1071058 51.5064889, -0.1071362 51.5065735, -0.1071412 51.5065876, -0.1071881 51.5067127, -0.1073107 51.5070397, -0.1073284 51.5070868)",1,165.87,residential,6,32,,,auto,
