name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,1,108857,,-0.0883379,51.5061683,,,,,
,2,3240063179,,-0.0884029,51.5062948,,,,,
,3,3240062646,,-0.0883667,51.5060762,,,,,
,4,10572163,,-0.1138940,51.5063098,,,,,
,5,914309942,,-0.1127652,51.5065594,,,,,
,6,2972838771,,-0.0940433,51.5088978,,,,,
,7,2941549912,,-0.0946146,51.5079246,,,,,
,8,1678452728,,-0.1044630,51.5071382,,,,,
,9,21392089,,-0.1043284,51.5071208,,,,,
,10,276508,,-0.0969407,51.4991103,,,,,
,11,6024546178,,-0.0967984,51.4990249,,,,,
,12,8942251656,signal,-0.1046354,51.4990283,,,,,
,13,3799757270,,-0.1046371,51.4989939,,,,,
,14,4892316669,,-0.1046858,51.4991138,,,,,
,15,12354833,,-0.1175670,51.5029146,,,,,
,16,538090949,,-0.1171570,51.5038712,,,,,
,17,109757,,-0.1073284,51.5070868,,,,,
,18,9261031259,,-0.1067551,51.5056390,,,,,
,19,13823628,,-0.0858512,51.4948903,,,,,
,20,6991416094,,-0.0855694,51.4948456,,,,,
,21,13823641,,-0.0526638,51.4780023,,,,,
,22,102975092,,-0.0535670,51.4783486,,,,,
,23,9394005615,,-0.0910385,51.4674707,,,,,
,24,7887356096,,-0.0909460,51.4673401,,,,,
,25,25472854,,-0.1121290,51.5067404,,,,,
,26,7580376910,signal,-0.1114595,51.5058744,,,,,
,27,109753,,-0.1113433,51.5057204,,,,,
,28,1312453970,,-0.0876371,51.5078509,,,,,
,29,1312454003,,-0.0878600,51.5072616,,,,,
,30,20626258,,-0.0767638,51.5018674,,,,,
,31,20626259,,-0.0762111,51.5024979,,,,,
,32,25468850,,-0.0784510,51.5029721,,,,,
,33,5577419535,,-0.0783696,51.5030169,,,,,
,34,16077131,,-0.0756491,51.5022589,,,,,
,35,102705889,,-0.0763220,51.5015848,,,,,
,36,109741,,-0.0952246,51.5062423,,,,,
,37,109742,,-0.0967883,51.5065621,,,,,
,38,20955500,,-0.0977010,51.5061920,,,,,
,39,1378792410,,-0.0990497,51.5061535,,,,,
,40,1960905158,,-0.1450069,51.4967495,,,,,
,41,2314796041,signal,-0.1458929,51.4970545,,,,,
,42,108311,,-0.1429256,51.4965923,,,,,
Victoria Station,43,49288280,,-0.1434915,51.4966451,,,,,
,44,1960905144,signal,-0.1424850,51.4964506,,,,,
,45,43768943,,-0.1424983,51.4961571,,,,,
,46,108312,,-0.1423092,51.4965257,,,,,
,47,18130227,,-0.1315145,51.4896411,,,,,
,48,21269079,signal,-0.1308437,51.4893018,,,,,
,49,1795462125,,-0.1250146,51.4866774,,,,,
,50,104391,,-0.1248272,51.4866631,,,,,
,51,21036397,,-0.1468598,51.4938280,,,,,
,52,21036395,signal,-0.1467476,51.4941245,,,,,
,53,1231982773,,-0.1451804,51.4961588,,,,,
,54,1231977688,,-0.1452554,51.4960340,,,,,
,55,26602241,,-0.1495747,51.4834146,,,,,
,56,1955532150,,-0.1495506,51.4832648,,,,,
,57,21036420,,-0.1488636,51.4780270,,,,,
,58,1626997893,,-0.1487727,51.4780998,,,,,
,59,2511613816,,-0.1485465,51.4775766,,,,,
,60,1626997922,,-0.1486004,51.4776744,,,,,
,61,7275866662,signal,-0.1478893,51.4765203,,,,,
,62,965877649,,-0.1468966,51.4769490,,,,,
,63,11079550,,-0.1482501,51.4763848,,,,,
,64,1960840442,,-0.1524215,51.4874896,,,,,
,65,7569454870,,-0.1520540,51.4872775,,,,,
,66,108368,,-0.1251896,51.4930962,,,,,
,67,21269077,,-0.1261375,51.4948033,,,,,
,68,21269089,,-0.1267177,51.4901576,,,,,
,69,419809799,,-0.1268440,51.4902007,,,,,
,70,7188445625,,-0.1298784,51.4761222,,,,,
,71,107283409,,-0.1302892,51.4753381,,,,,
,72,33228809,,-0.1222692,51.4784634,,,,,
,73,26398739,,-0.1234922,51.4788829,,,,,
,74,33228805,,-0.1223165,51.4782146,,,,,
,75,10865048,,-0.1233925,51.4778067,,,,,
,76,10869225,,-0.1340486,51.4710741,,,,,
,77,6032331303,signal,-0.1329243,51.4702384,,,,,
,78,10869203,,-0.1327595,51.4700953,,,,,
,79,1787929940,signal,-0.1325675,51.4699776,,,,,
,80,267640638,,-0.1319526,51.4696931,,,,,
,81,7771598180,signal,-0.1352925,51.4719829,,,,,
,82,110155286,,-0.1303309,51.4692663,,,,,
,83,10869039,,-0.1288591,51.4692757,,,,,
,84,300516,,-0.1354206,51.4720725,,,,,
,85,1832048869,,-0.1205811,51.4795721,,,,,
,86,805171018,,-0.1212501,51.4787086,,,,,
,87,107733,,-0.1141145,51.5047105,,,,,
,88,107734,,-0.1140915,51.5050454,,,,,
,89,21392086,,-0.1143820,51.5043342,,,,,
,90,21392084,,-0.1141985,51.5041585,,,,,
,91,107737,,-0.1131332,51.5046433,,,,,
,92,2372320992,signal,-0.1130883,51.5046017,,,,,
