agent_id,o_node_id,d_node_id,o_zone_id,d_zone_id,matching_link_from_node_id,matching_link_to_node_id,matching_link_id,node_sequence,geometry
1,3230,3312,1,2,3230,3224,7547,3312;2460;759;1006;756;3936;3839;3887;3888;3889;3890;3548;824;822;690;3842;279;50;3844;280;233;3236;3235;3233;3231;3237;2793;2795;2792;3230;,"LINESTRING (-111.9365101 33.4312064, -111.9367661 33.4312147, -111.9378105 33.43122630000001, -111.9375374 33.4306151, -111.9374938 33.4305413, -111.9374689 33.4304979, -111.9385087 33.4299567, -111.9388274 33.4296956, -111.9391942 33.4295715, -111.9397917 33.4295164, -111.9399049 33.42944439999999, -111.9399022 33.4284956, -111.9398931 33.4275275, -111.9398921 33.4274906, -111.9399644 33.4274908, -111.9399843 33.4274909, -111.9400695 33.4274911, -111.9426691 33.4277019, -111.9427385 33.4277461, -111.9435008 33.42952, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9438673 33.4293268, -111.9438604 33.428349, -111.9440882 33.428349, -111.9443136 33.4283475, -111.9443125 33.4283045, -111.9443068 33.4280856, -111.9443026 33.4279205, -111.9442962 33.4276724)"
2,3783,3312,1,2,3783,2788,1514,3312;2460;759;1006;756;3936;3839;3887;3888;3889;3890;3548;824;822;690;3842;279;50;3844;280;233;3236;3;3153;4;1285;2782;2780;69;2790;2791;2789;2788;3783;,"LINESTRING (-111.9365101 33.4312064, -111.9367661 33.4312147, -111.9378105 33.43122630000001, -111.9375374 33.4306151, -111.9374938 33.4305413, -111.9374689 33.4304979, -111.9385087 33.4299567, -111.9388274 33.4296956, -111.9391942 33.4295715, -111.9397917 33.4295164, -111.9399049 33.42944439999999, -111.9399022 33.4284956, -111.9398931 33.4275275, -111.9398921 33.4274906, -111.9399644 33.4274908, -111.9399843 33.4274909, -111.9400695 33.4274911, -111.9426691 33.4277019, -111.9427385 33.4277461, -111.9435008 33.42952, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9442567 33.4295155, -111.9442632 33.4293622, -111.9443252 33.4291446, -111.9448055 33.4291415, -111.9450555 33.4291399, -111.9451628 33.4291392, -111.9457793 33.4291351, -111.9467829 33.4291351, -111.9467852 33.4295146, -111.9467516 33.4302354, -111.9467635 33.4305707, -111.9461677 33.4307281)"
3,3776,5074,1,3,3776,3777,492,5074;3315;3314;3131;2456;2455;1006;756;3936;3839;3887;3888;3889;3890;3548;824;822;690;3842;279;50;3844;280;233;3236;3;3153;4;1285;2782;2780;69;3776;,"LINESTRING (-111.9299626849587 33.42912759870866, -111.9300228 33.4291802, -111.9306812 33.4290446, -111.9312006 33.4292506, -111.9339413 33.4297066, -111.9350202 33.4303782, -111.9375374 33.4306151, -111.9374938 33.4305413, -111.9374689 33.4304979, -111.9385087 33.4299567, -111.9388274 33.4296956, -111.9391942 33.4295715, -111.9397917 33.4295164, -111.9399049 33.42944439999999, -111.9399022 33.4284956, -111.9398931 33.4275275, -111.9398921 33.4274906, -111.9399644 33.4274908, -111.9399843 33.4274909, -111.9400695 33.4274911, -111.9426691 33.4277019, -111.9427385 33.4277461, -111.9435008 33.42952, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9442567 33.4295155, -111.9442632 33.4293622, -111.9443252 33.4291446, -111.9448055 33.4291415, -111.9450555 33.4291399, -111.9451628 33.4291392, -111.9457793 33.4291351, -111.9457797 33.4287142)"
4,4460,4446,1,4,4460,3830,9754,4446;721;2020;725;790;5248;793;1144;1460;2023;5252;2459;2457;3314;3131;2456;2455;1006;756;3936;3839;3887;813;412;692;3926;68;799;1155;744;427;3831;3832;430;740;3846;190;432;3830;4460;,"LINESTRING (-111.9221542532736 33.42797852286211, -111.9236237 33.4283392, -111.923802 33.4286633, -111.9239233 33.4288837, -111.9261046 33.4287728, -111.9262829 33.4288401, -111.9264921 33.4287917, -111.9272141 33.4288263, -111.9283645 33.4287643, -111.9291239 33.42867039999999, -111.9293054 33.42871760000001, -111.9293075 33.428878, -111.9294144 33.4288652, -111.9306812 33.4290446, -111.9312006 33.4292506, -111.9339413 33.4297066, -111.9350202 33.4303782, -111.9375374 33.4306151, -111.9374938 33.4305413, -111.9374689 33.4304979, -111.9385087 33.4299567, -111.9388274 33.4296956, -111.9392114 33.4296405, -111.9398814 33.4295827, -111.9399635 33.4295773, -111.940043 33.4295721, -111.9400872 33.4295692, -111.9401777 33.429559, -111.9406832 33.4295107, -111.941344 33.4294485, -111.9424679 33.4293072, -111.942523 33.42925200000001, -111.9427707 33.4291942, -111.9428468 33.4292652, -111.9428674 33.4293722, -111.9430137 33.4296434, -111.9430761 33.429697, -111.9428484 33.4296132, -111.942704 33.4295252, -111.942641580774 33.4296714921756)"
5,4983,1023,1,5,4983,3284,10800,1023;2613;2612;867;5249;3686;1162;1161;731;5260;1163;694;1164;725;790;5248;793;1144;1460;2023;5252;2459;2457;3314;3131;2456;2455;1006;756;3936;3839;3887;3888;3889;3890;3548;824;822;690;3842;279;50;3844;280;233;3236;3;3153;4;1285;2782;2780;2781;2784;3284;4983;,"LINESTRING (-111.9086057 33.4303702, -111.9089723 33.4303545, -111.9089482 33.4294738, -111.9090965 33.4294256, -111.9090868 33.4292521, -111.9092444 33.4291696, -111.9097142 33.429122, -111.9099576 33.4290973, -111.9126373 33.4292226, -111.9179242 33.4292664, -111.9186041 33.4292126, -111.9211598 33.4292573, -111.9217497 33.4292597, -111.9239233 33.4288837, -111.9261046 33.4287728, -111.9262829 33.4288401, -111.9264921 33.4287917, -111.9272141 33.4288263, -111.9283645 33.4287643, -111.9291239 33.42867039999999, -111.9293054 33.42871760000001, -111.9293075 33.428878, -111.9294144 33.4288652, -111.9306812 33.4290446, -111.9312006 33.4292506, -111.9339413 33.4297066, -111.9350202 33.4303782, -111.9375374 33.4306151, -111.9374938 33.4305413, -111.9374689 33.4304979, -111.9385087 33.4299567, -111.9388274 33.4296956, -111.9391942 33.4295715, -111.9397917 33.4295164, -111.9399049 33.42944439999999, -111.9399022 33.4284956, -111.9398931 33.4275275, -111.9398921 33.4274906, -111.9399644 33.4274908, -111.9399843 33.4274909, -111.9400695 33.4274911, -111.9426691 33.4277019, -111.9427385 33.4277461, -111.9435008 33.42952, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9442567 33.4295155, -111.9442632 33.4293622, -111.9443252 33.4291446, -111.9448055 33.4291415, -111.9450555 33.4291399, -111.9451628 33.4291392, -111.9451095 33.4294457, -111.9452165 33.4294497, -111.9453641 33.4305477, -111.94547935 33.43065840000001)"
6,279,1891,1,6,279,105,2043,1891;1890;84;83;105;279;,"LINESTRING (-111.9412751 33.42598289999999, -111.9407747 33.4259878, -111.940778 33.4264585, -111.9400776 33.4264624, -111.9400679 33.4273849, -111.9400695 33.4274911)"
7,4459,3501,1,6,4459,1079,9752,3501;3500;3285;3287;5;3771;3772;366;233;280;188;851;190;1158;1159;415;452;434;444;1079;4459;,"LINESTRING (-111.9455168 33.4257423, -111.9455227 33.4254749, -111.9451009 33.4254702, -111.9446931 33.425471, -111.9442882 33.4254677, -111.943615 33.425529, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9435008 33.42952, -111.9434575 33.4295241, -111.9434283 33.4295304, -111.9430761 33.429697, -111.9431442 33.4297815, -111.9433431 33.4307227, -111.9433535 33.4309202, -111.943241 33.4309221, -111.9432128 33.4303148, -111.9431917 33.4302098, -111.9430423 33.429831, -111.9427134337119 33.42997045155538)"
9,3282,3408,1,7,3282,4989,10813,3408;3418;3402;3404;2472;2475;2471;2552;4054;1854;688;407;822;690;3842;279;50;3844;280;233;3236;3;3153;4;1285;2782;2780;2781;3282;,"LINESTRING (-111.9358066 33.4256871, -111.9359801 33.4256845, -111.9359766 33.4258187, -111.9359814 33.425948, -111.9362367 33.4259473, -111.9365005 33.4258776, -111.9367764 33.4256092, -111.9381622 33.4256128, -111.9381648 33.4259301, -111.9387635 33.427076, -111.9395019 33.4273825, -111.9395166 33.4274698, -111.9398921 33.4274906, -111.9399644 33.4274908, -111.9399843 33.4274909, -111.9400695 33.4274911, -111.9426691 33.4277019, -111.9427385 33.4277461, -111.9435008 33.42952, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9442567 33.4295155, -111.9442632 33.4293622, -111.9443252 33.4291446, -111.9448055 33.4291415, -111.9450555 33.4291399, -111.9451628 33.4291392, -111.9451095 33.4294457, -111.9450095 33.4294461)"
10,4,2477,1,7,4,3237,2915,2477;2476;2475;2471;2552;4054;1854;688;407;822;690;3842;279;50;3844;280;233;3236;3235;3233;3231;3237;4;,"LINESTRING (-111.9364515 33.4256697, -111.9364791 33.4257839, -111.9365005 33.4258776, -111.9367764 33.4256092, -111.9381622 33.4256128, -111.9381648 33.4259301, -111.9387635 33.427076, -111.9395019 33.4273825, -111.9395166 33.4274698, -111.9398921 33.4274906, -111.9399644 33.4274908, -111.9399843 33.4274909, -111.9400695 33.4274911, -111.9426691 33.4277019, -111.9427385 33.4277461, -111.9435008 33.42952, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9438673 33.4293268, -111.9438604 33.428349, -111.9440882 33.428349, -111.9443136 33.4283475, -111.9443252 33.4291446)"
11,4459,2516,1,7,4459,1079,9752,2516;2515;2500;2514;2513;2512;2511;685;3893;27;1113;106;1115;83;105;279;50;3844;280;188;851;190;1158;1159;415;452;434;444;1079;4459;,"LINESTRING (-111.9382162 33.4232986, -111.9386927 33.4232947, -111.9391361 33.4232957, -111.9398556 33.4233035, -111.9398734 33.4239077, -111.9398322 33.4242867, -111.939833 33.4243454, -111.9399523 33.4243448, -111.9399699 33.4243446, -111.9400719 33.424345, -111.9400789 33.424691, -111.9400797 33.4254922, -111.9400785 33.4260353, -111.9400776 33.4264624, -111.9400679 33.4273849, -111.9400695 33.4274911, -111.9426691 33.4277019, -111.9427385 33.4277461, -111.9435008 33.42952, -111.9434575 33.4295241, -111.9434283 33.4295304, -111.9430761 33.429697, -111.9431442 33.4297815, -111.9433431 33.4307227, -111.9433535 33.4309202, -111.943241 33.4309221, -111.9432128 33.4303148, -111.9431917 33.4302098, -111.9430423 33.429831, -111.9427134337119 33.42997045155538)"
