name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
North Scottsdale Road,0,5589756,1,4153,1,86.99924516,3,35,5700,primary,3,"LINESTRING (-111.9262877 33.4312176, -111.9262851 33.432)",bike;auto;walk,1
North Scottsdale Road,1,5589756,4153,1,1,86.99924516,3,35,5700,primary,3,"LINESTRING (-111.9262851 33.432, -111.9262877 33.4312176)",bike;auto;walk,1
South Farmer Avenue,2,5590090,2,3156,1,98.98843843,,,0,residential,6,"LINESTRING (-111.944268 33.4307934, -111.9442601 33.4299032)",bike;auto;walk,1
South Farmer Avenue,3,5590090,3156,2,1,98.98843843,,,0,residential,6,"LINESTRING (-111.9442601 33.4299032, -111.944268 33.4307934)",bike;auto;walk,1
South Farmer Avenue,4,5590090,3156,3152,1,41.73257958,,,0,residential,6,"LINESTRING (-111.9442601 33.4299032, -111.9442568 33.4295279)",bike;auto;walk,1
South Farmer Avenue,5,5590090,3152,3156,1,41.73257958,,,0,residential,6,"LINESTRING (-111.9442568 33.4295279, -111.9442601 33.4299032)",bike;auto;walk,1
South Farmer Avenue,6,5590090,3152,3,1,1.378848318,,,0,residential,6,"LINESTRING (-111.9442568 33.4295279, -111.9442567 33.4295155)",bike;auto;walk,1
South Farmer Avenue,7,5590090,3,3152,1,1.378848318,,,0,residential,6,"LINESTRING (-111.9442567 33.4295155, -111.9442568 33.4295279)",bike;auto;walk,1
South Farmer Avenue,8,5590095,17,18,1,81.57797929,1,25,1900,residential,6,"LINESTRING (-111.9442875 33.4146337, -111.9442873 33.4145578, -111.9442885 33.4144819, -111.9442932 33.4144534, -111.9443066 33.4144231, -111.944311 33.4143981, -111.9443115 33.4142442, -111.9443138 33.4139026)",bike;auto;walk,1
South Farmer Avenue,9,5590095,18,17,1,81.57797929,1,25,1900,residential,6,"LINESTRING (-111.9443138 33.4139026, -111.9443115 33.4142442, -111.944311 33.4143981, -111.9443066 33.4144231, -111.9442932 33.4144534, -111.9442885 33.4144819, -111.9442873 33.4145578, -111.9442875 33.4146337)",bike;auto;walk,1
South Farmer Avenue,10,5590095,18,19,1,80.16146293,1,25,1900,residential,6,"LINESTRING (-111.9443138 33.4139026, -111.9443094 33.4131817)",bike;auto;walk,1
South Farmer Avenue,11,5590095,19,18,1,80.16146293,1,25,1900,residential,6,"LINESTRING (-111.9443094 33.4131817, -111.9443138 33.4139026)",bike;auto;walk,1
South Farmer Avenue,12,5590095,19,20,1,240.2823585,1,25,1900,residential,6,"LINESTRING (-111.9443094 33.4131817, -111.9443088 33.4130312, -111.9443073 33.411888, -111.9443024 33.4110208)",bike;auto;walk,1
South Farmer Avenue,13,5590095,20,19,1,240.2823585,1,25,1900,residential,6,"LINESTRING (-111.9443024 33.4110208, -111.9443073 33.411888, -111.9443088 33.4130312, -111.9443094 33.4131817)",bike;auto;walk,1
South Farmer Avenue,14,5590095,20,311,1,42.52200665,1,25,1900,residential,6,"LINESTRING (-111.9443024 33.4110208, -111.9443008 33.4108613, -111.9442992 33.4106384)",bike;auto;walk,1
