name,link_id,osm_way_id,from_node_id,to_node_id,from_node_osm_id,to_node_osm_id,allowed_uses,electrified,frequency,highspeed,maxspeed,maxspeed_designed,passenger_lines,railway_ctcs,railway_traffic_mode,start_date,usage,voltage,gauge,service,length,geometry
UP Phoenix Subdivision,0,28821383,19,20,316007382,316007383,railway,no,,,,,,,,,,,1435,,28.43773867,"LINESTRING(-111.9400502 33.4110461, -111.9403482 33.4111055)"
UP Phoenix Subdivision,1,28821383,20,21,316007383,316007384,railway,no,,,,,,,,,,,1435,,41.31338853,"LINESTRING(-111.9403482 33.4111055, -111.9407687 33.4112273)"
UP Phoenix Subdivision,2,28821383,21,22,316007384,316007385,railway,no,,,,,,,,,,,1435,,32.42879339,"LINESTRING(-111.9407687 33.4112273, -111.9410777 33.4113634)"
UP Phoenix Subdivision,3,28821383,22,23,316007385,316007386,railway,no,,,,,,,,,,,1435,,38.67815406,"LINESTRING(-111.9410777 33.4113634, -111.9414296 33.4115497)"
UP Phoenix Subdivision,4,28821383,23,24,316007386,316007387,railway,no,,,,,,,,,,,1435,,43.82456188,"LINESTRING(-111.9414296 33.4115497, -111.9418073 33.4117862)"
UP Phoenix Subdivision,5,28821383,24,25,316007387,316007388,railway,no,,,,,,,,,,,1435,,40.55820913,"LINESTRING(-111.9418073 33.4117862, -111.9421163 33.4120441)"
UP Phoenix Subdivision,6,28821383,25,7,316007388,42556271,railway,no,,,,,,,,,,,1435,,31.54391799,"LINESTRING(-111.9421163 33.4120441, -111.9423566 33.4122447)"
UP Phoenix Subdivision,7,28821383,7,26,42556271,316007389,railway,no,,,,,,,,,,,1435,,41.31041207,"LINESTRING(-111.9423566 33.4122447, -111.9426398 33.4125313)"
UP Phoenix Subdivision,8,28821383,26,40,316007389,338045498,railway,no,,,,,,,,,,,1435,,25.69689637,"LINESTRING(-111.9426398 33.4125313, -111.9427974 33.4127213)"
UP Phoenix Subdivision,9,28821383,40,8,338045498,42556275,railway,no,,,,,,,,,,,1435,,33.75604866,"LINESTRING(-111.9427974 33.4127213, -111.9429809 33.4129834)"
UP Phoenix Subdivision,10,28821383,8,82,42556275,2300341703,railway,no,,,,,,,,,,,1435,,35.98127427,"LINESTRING(-111.9429809 33.4129834, -111.9431497 33.4132747)"
UP Phoenix Subdivision,11,28821383,82,27,2300341703,316007390,railway,no,,,,,,,,,,,1435,,35.77153206,"LINESTRING(-111.9431497 33.4132747, -111.9432854 33.4135758)"
UP Phoenix Subdivision,12,28821383,27,83,316007390,2300341705,railway,no,,,,,,,,,,,1435,,22.08283539,"LINESTRING(-111.9432854 33.4135758, -111.9433592 33.4137646)"
UP Phoenix Subdivision,13,28821383,83,84,2300341705,2300341706,railway,no,,,,,,,,,,,1435,,30.3762791,"LINESTRING(-111.9433592 33.4137646, -111.9434306 33.4140312)"
UP Phoenix Subdivision,14,28821383,84,116,2300341706,4181518577,railway,no,,,,,,,,,,,1435,,10.4880734,"LINESTRING(-111.9434306 33.4140312, -111.9434527 33.4141237)"
UP Phoenix Subdivision,15,28821383,116,86,4181518577,2300341709,railway,no,,,,,,,,,,,1435,,13.24621741,"LINESTRING(-111.9434527 33.4141237, -111.9434762 33.4142412)"
UP Phoenix Subdivision,16,28821383,86,117,2300341709,4181518588,railway,no,,,,,,,,,,,1435,,10.8291731,"LINESTRING(-111.9434762 33.4142412, -111.9434936 33.4143375)"
UP Phoenix Subdivision,17,28821383,117,119,4181518588,4181518693,railway,no,,,,,,,,,,,1435,,9.576916583,"LINESTRING(-111.9434936 33.4143375, -111.943505 33.4144231)"
UP Phoenix Subdivision,18,28821383,119,9,4181518693,42556278,railway,no,,,,,,,,,,,1435,,8.563118043,"LINESTRING(-111.943505 33.4144231, -111.9435156 33.4144996)"
