poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
1,dormitory,"1,000 Sq. Ft. GFA",1,0.1,0.36,1,1
2,office,"1,000 Sq. Ft. GFA",1,1.15,0.1,1,1
3,house,"1,000 Sq. Ft. GFA",1,0.1,0.44,1,1
4,apartments;bridge,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
5,apartments;yes,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
6,parking_space,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
7,industrial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,1
8,school,"1,000 Sq. Ft. GFA",1,1.37,0.1,1,1
9,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.36,1,1
10,bicycle_parking,"1,000 Sq. Ft. GFA",1,0.43,0.1,1,1
11,community_centre,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
12,toilets,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
13,pharmacy,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
14,ramada,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
15,fountain,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
16,waste_disposal,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
17,residential,"1,000 Sq. Ft. GFA",1,0.1,0.36,1,1
18,library,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,1
19,fire_station,"1,000 Sq. Ft. GFA",1,0.48,0.1,1,1
20,cafe,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
21,car_wash,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
22,police,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
23,theatre,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
24,yes;roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
25,shelter,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
26,place_of_worship,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
27,garages,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
28,fuel,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
29,parking,"1,000 Sq. Ft. GFA",1,0.43,0.1,1,1
30,college,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,1
31,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
32,carport,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
33,cinema,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
34,construction,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
35,events_venue,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
36,snack_bar,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
37,hospital,"1,000 Sq. Ft. GFA",1,0.97,0.1,1,1
38,bus_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
39,bar,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
40,yes,"1,000 Sq. Ft. GFA",1,1.0,1.0,1,1
41,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,1
42,commercial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,1
43,restaurant,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
44,post_office,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
45,no,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
46,townhall,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
47,fast_food,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
48,retail,"1,000 Sq. Ft. GFA",1,6.84,0.1,1,1
49,commercial;residential,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
50,roof;yes,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
