link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
1,Montclair Road,19369221,1,2,1,"LINESTRING (-84.3122949 36.0012322, -84.3120598 36.0012552, -84.3116439 36.0012959, -84.3113581 36.001325, -84.3110847 36.0013511, -84.3110621 36.0013538, -84.3110175 36.0013591, -84.3108649 36.001384, -84.3107485 36.0014139, -84.3105806 36.0014843, -84.3105327 36.0015079, -84.3103948 36.001576, -84.3102749 36.0016468, -84.3096971 36.0019735, -84.3095807 36.0020391, -84.3094463 36.0021178)",1,281.81,residential,6,,,,auto;bike;walk,
2,Montclair Road,19369221,2,3,1,"LINESTRING (-84.3094463 36.0021178, -84.3092944 36.0021974)",1,16.28,residential,6,,,,auto;bike;walk,
3,Montclair Road,19369221,3,4,1,"LINESTRING (-84.3092944 36.0021974, -84.3091184 36.0022896, -84.3091047 36.0022969, -84.3089732 36.0023667, -84.3088726 36.0024202, -84.3084873 36.0026374, -84.3084675 36.0026488, -84.3080801 36.00286)",1,131.77,residential,6,,,,auto;bike;walk,
4,Montclair Road,19369221,4,5,1,"LINESTRING (-84.3080801 36.00286, -84.3077583 36.0030386, -84.3073602 36.0032589, -84.307295 36.0032954, -84.3072294 36.003333, -84.3069604 36.0034871, -84.3069192 36.0035095, -84.306813 36.0035583, -84.306702 36.0035943, -84.306591 36.0036115, -84.3064709 36.0036185)",1,169.72,residential,6,,,,auto;bike;walk,
5,Montclair Road,19369221,5,6,1,"LINESTRING (-84.3064709 36.0036185, -84.3062249 36.0036137, -84.3056537 36.0035884, -84.3052678 36.0035743, -84.3050574 36.0035766, -84.3048916 36.0036009, -84.3046792 36.0036586, -84.3045827 36.0036875)",1,171.84,residential,6,,,,auto;bike;walk,
6,Montclair Road,19369221,2,1,1,"LINESTRING (-84.3094463 36.0021178, -84.3095807 36.0020391, -84.3096971 36.0019735, -84.3102749 36.0016468, -84.3103948 36.001576, -84.3105327 36.0015079, -84.3105806 36.0014843, -84.3107485 36.0014139, -84.3108649 36.001384, -84.3110175 36.0013591, -84.3110621 36.0013538, -84.3110847 36.0013511, -84.3113581 36.001325, -84.3116439 36.0012959, -84.3120598 36.0012552, -84.3122949 36.0012322)",1,281.81,residential,6,,,,auto;bike;walk,
7,Montclair Road,19369221,3,2,1,"LINESTRING (-84.3092944 36.0021974, -84.3094463 36.0021178)",1,16.28,residential,6,,,,auto;bike;walk,
8,Montclair Road,19369221,4,3,1,"LINESTRING (-84.3080801 36.00286, -84.3084675 36.0026488, -84.3084873 36.0026374, -84.3088726 36.0024202, -84.3089732 36.0023667, -84.3091047 36.0022969, -84.3091184 36.0022896, -84.3092944 36.0021974)",1,131.77,residential,6,,,,auto;bike;walk,
9,Montclair Road,19369221,5,4,1,"LINESTRING (-84.3064709 36.0036185, -84.306591 36.0036115, -84.306702 36.0035943, -84.306813 36.0035583, -84.3069192 36.0035095, -84.3069604 36.0034871, -84.3072294 36.003333, -84.307295 36.0032954, -84.3073602 36.0032589, -84.3077583 36.0030386, -84.3080801 36.00286)",1,169.72,residential,6,,,,auto;bike;walk,
10,Montclair Road,19369221,6,5,1,"LINESTRING (-84.3045827 36.0036875, -84.3046792 36.0036586, -84.3048916 36.0036009, -84.3050574 36.0035766, -84.3052678 36.0035743, -84.3056537 36.0035884, -84.3062249 36.0036137, -84.3064709 36.0036185)",1,171.84,residential,6,,,,auto;bike;walk,
