name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,1,201377231,,-84.3122949,36.0012322,,,,,
,2,201377239,,-84.3094463,36.0021178,,,,,
,3,11593694812,,-84.3092944,36.0021974,,,,,
,4,201377250,,-84.3080801,36.0028600,,,,,
,5,201377260,,-84.3064709,36.0036185,,,,,
,6,201377269,,-84.3045827,36.0036875,,,,,
,7,201377450,,-84.2190117,36.0551191,,,,,
,8,201377472,,-84.2182313,36.0546220,,,,,
,9,201377741,,-84.2075107,36.0275520,,,,,
,10,201377745,,-84.2072475,36.0267504,,,,,
,11,201377834,,-84.2591968,36.0217296,,,,,
,12,201377855,,-84.2586174,36.0228910,,,,,
,13,201378022,,-84.2131750,36.0463268,,,,,
,14,201378029,,-84.2142158,36.0454906,,,,,
,15,201377948,,-84.2120950,36.0518441,,,,,
,16,201377989,,-84.2104650,36.0491863,,,,,
,17,201377934,,-84.2138090,36.0516940,,,,,
,18,201378072,,-84.2233108,36.0540745,,,,,
,19,201378073,,-84.2231203,36.0543585,,,,,
,20,201378080,,-84.2227358,36.0547417,,,,,
,21,201378092,,-84.2208605,36.0555625,,,,,
,22,201378093,,-84.2203414,36.0555088,,,,,
,23,201378049,,-84.2255814,36.0499464,,,,,
,24,201378055,,-84.2251334,36.0505067,,,,,
,25,201378110,,-84.2175136,36.0540143,,,,,
,26,201378115,,-84.2152245,36.0531328,,,,,
,27,201378137,,-84.2306413,36.0472337,,,,,
,28,201378146,,-84.2297259,36.0487962,,,,,
,29,201378156,,-84.2290865,36.0495762,,,,,
,30,201378170,,-84.2273083,36.0503045,,,,,
,31,201378178,,-84.2265481,36.0502658,,,,,
,32,203405278,,-84.2817150,35.9249821,,,,,
,33,203433432,,-84.2869990,35.9312893,,,,,
,34,10184825516,,-84.2793025,35.9369320,,,,,
,35,201391472,,-84.2783670,35.9375744,,,,,
,36,9597807352,,-84.2825832,35.9336234,,,,,
,37,201384906,,-84.2341760,35.9947340,,,,,
,38,201384942,,-84.2325983,35.9926524,,,,,
,39,201385551,,-84.2565281,35.9639404,,,,,
,40,1095765837,,-84.2595286,35.9620684,,,,,
,41,12396764295,,-84.2517023,35.9668409,,,,,
,42,201385594,,-84.2742593,35.9533058,,,,,
,43,201385643,,-84.2794340,35.9579560,,,,,
,44,11031558218,,-84.2728379,36.0120932,,,,,
,45,201386102,,-84.2733285,36.0126659,,,,,
,46,201386112,,-84.2742348,36.0134832,,,,,
,47,10068811616,,-84.2725720,36.0117303,,,,,
,48,201386259,,-84.2662314,35.9712522,,,,,
,49,201386284,,-84.2677073,35.9757195,,,,,
,50,201386329,,-84.2589464,36.0028331,,,,,
,51,1116115277,,-84.2581043,36.0030487,,,,,
,52,201443870,,-84.2568608,36.0040082,,,,,
,53,9499456824,,-84.2639217,36.0088563,,,,,
,54,1095896046,,-84.2641586,36.0087090,,,,,
,55,1855695729,,-84.2638584,36.0088957,,,,,
,56,7301363824,,-84.2632793,36.0087945,,,,,
,57,7301363840,,-84.2625767,36.0086843,,,,,
,58,4693084595,,-84.2633456,36.0090941,,,,,
,59,11152101420,,-84.2619596,36.0088709,,,,,
